code,name_en,definition_en,unit_code,topic,source_concept
CENSUS_INDV67_ROWTOTAL,Population By Lit Sts And Reason: rowtotal (Census 2021),"Source column rowtotal from Indv67_PopulationByLitStsAndReason.csv, National Population and Housing Census 2021. Source dimension labels and codes are preserved in observation breakdowns; opaque source vocabulary is not guessed.",PERSONS,population,Indv67_PopulationByLitStsAndReason:rowtotal
CENSUS_INDV67_A_STUDENT,Population By Lit Sts And Reason: a_student (Census 2021),"Source column a_student from Indv67_PopulationByLitStsAndReason.csv, National Population and Housing Census 2021. Source dimension labels and codes are preserved in observation breakdowns; opaque source vocabulary is not guessed.",PERSONS,population,Indv67_PopulationByLitStsAndReason:a_student
CENSUS_INDV67_B_HHLDWORK,Population By Lit Sts And Reason: b_hhldwork (Census 2021),"Source column b_hhldwork from Indv67_PopulationByLitStsAndReason.csv, National Population and Housing Census 2021. Source dimension labels and codes are preserved in observation breakdowns; opaque source vocabulary is not guessed.",PERSONS,population,Indv67_PopulationByLitStsAndReason:b_hhldwork
CENSUS_INDV67_C_HHLDCHORE,Population By Lit Sts And Reason: c_hhldchore (Census 2021),"Source column c_hhldchore from Indv67_PopulationByLitStsAndReason.csv, National Population and Housing Census 2021. Source dimension labels and codes are preserved in observation breakdowns; opaque source vocabulary is not guessed.",PERSONS,population,Indv67_PopulationByLitStsAndReason:c_hhldchore
CENSUS_INDV67_D_AGED,Population By Lit Sts And Reason: d_aged (Census 2021),"Source column d_aged from Indv67_PopulationByLitStsAndReason.csv, National Population and Housing Census 2021. Source dimension labels and codes are preserved in observation breakdowns; opaque source vocabulary is not guessed.",PERSONS,population,Indv67_PopulationByLitStsAndReason:d_aged
CENSUS_INDV67_E_DISABLE,Population By Lit Sts And Reason: e_disable (Census 2021),"Source column e_disable from Indv67_PopulationByLitStsAndReason.csv, National Population and Housing Census 2021. Source dimension labels and codes are preserved in observation breakdowns; opaque source vocabulary is not guessed.",PERSONS,population,Indv67_PopulationByLitStsAndReason:e_disable
CENSUS_INDV67_F_PENSON,Population By Lit Sts And Reason: f_penson (Census 2021),"Source column f_penson from Indv67_PopulationByLitStsAndReason.csv, National Population and Housing Census 2021. Source dimension labels and codes are preserved in observation breakdowns; opaque source vocabulary is not guessed.",PERSONS,population,Indv67_PopulationByLitStsAndReason:f_penson
CENSUS_INDV67_G_SOCIALWORK,Population By Lit Sts And Reason: g_socialwork (Census 2021),"Source column g_socialwork from Indv67_PopulationByLitStsAndReason.csv, National Population and Housing Census 2021. Source dimension labels and codes are preserved in observation breakdowns; opaque source vocabulary is not guessed.",PERSONS,population,Indv67_PopulationByLitStsAndReason:g_socialwork
CENSUS_INDV67_H_OTHER,Population By Lit Sts And Reason: h_other (Census 2021),"Source column h_other from Indv67_PopulationByLitStsAndReason.csv, National Population and Housing Census 2021. Source dimension labels and codes are preserved in observation breakdowns; opaque source vocabulary is not guessed.",PERSONS,population,Indv67_PopulationByLitStsAndReason:h_other
CENSUS_INDV67_I_NOTSTD,Population By Lit Sts And Reason: i_notstd (Census 2021),"Source column i_notstd from Indv67_PopulationByLitStsAndReason.csv, National Population and Housing Census 2021. Source dimension labels and codes are preserved in observation breakdowns; opaque source vocabulary is not guessed.",PERSONS,population,Indv67_PopulationByLitStsAndReason:i_notstd
CENSUS_INDV68_ROWTOTAL,Population By Work Month And Reason: rowtotal (Census 2021),"Source column rowtotal from Indv68_PopulationByWorkMonthAndReason.csv, National Population and Housing Census 2021. Source dimension labels and codes are preserved in observation breakdowns; opaque source vocabulary is not guessed.",PERSONS,labor,Indv68_PopulationByWorkMonthAndReason:rowtotal
CENSUS_INDV68_A_STUDENT,Population By Work Month And Reason: a_student (Census 2021),"Source column a_student from Indv68_PopulationByWorkMonthAndReason.csv, National Population and Housing Census 2021. Source dimension labels and codes are preserved in observation breakdowns; opaque source vocabulary is not guessed.",PERSONS,labor,Indv68_PopulationByWorkMonthAndReason:a_student
