code,wdi_code,name_wb,topic,unit_code,wb_topic,latest_year,latest_value
LP_LPI_OVRL_XQ,LP.LPI.OVRL.XQ,Logistics performance index: Overall (1=low to 5=high),economy,SCORE,Private Sector,2018,2.51
LP_LPI_TIME_XQ,LP.LPI.TIME.XQ,Logistics performance index: Frequency with which shipments reach consignee within scheduled or expected time (1=low to 5=high),economy,SCORE,Private Sector,2018,3.1
LP_LPI_TRAC_XQ,LP.LPI.TRAC.XQ,Logistics performance index: Ability to track and trace consignments (1=low to 5=high),economy,SCORE,Private Sector,2018,2.65
MS_MIL_TOTL_P1,MS.MIL.TOTL.P1,"Armed forces personnel, total",economy,COUNT,Public Sector,2020,112000.0
MS_MIL_TOTL_TF_ZS,MS.MIL.TOTL.TF.ZS,Armed forces personnel (% of total labor force),economy,PCT,Public Sector,2020,1.40391780813332
MS_MIL_XPND_CD,MS.MIL.XPND.CD,Military expenditure (current USD),economy,USD,Public Sector,2024,426517834.461529
MS_MIL_XPND_CN,MS.MIL.XPND.CN,Military expenditure (current LCU),economy,LCU,Public Sector,2024,57086000000.0
MS_MIL_XPND_GD_ZS,MS.MIL.XPND.GD.ZS,Military expenditure (% of GDP),economy,PCT,Public Sector,2024,0.979452474186084
MS_MIL_XPND_ZS,MS.MIL.XPND.ZS,Military expenditure (% of general government expenditure),economy,PCT,Public Sector,2024,4.10656672289703
NE_CON_GOVT_CD,NE.CON.GOVT.CD,General government final consumption expenditure (current US$),economy,USD,Economy & Growth,2025,3814307985.41918
NE_CON_GOVT_CN,NE.CON.GOVT.CN,General government final consumption expenditure (current LCU),economy,LCU,Economy & Growth,2025,519856971047.313
NE_CON_GOVT_KD,NE.CON.GOVT.KD,General government final consumption expenditure (constant 2015 US$),economy,USD,Economy & Growth,2025,3021199343.35968
NE_CON_GOVT_KD_ZG,NE.CON.GOVT.KD.ZG,General government final consumption expenditure (annual % growth),economy,PCT,Economy & Growth,2025,12.0244689876605
NE_CON_GOVT_KN,NE.CON.GOVT.KN,General government final consumption expenditure (constant LCU),economy,LCU,Economy & Growth,2025,217394732800.0
NE_CON_GOVT_ZS,NE.CON.GOVT.ZS,General government final consumption expenditure (% of GDP),economy,PCT,Economy & Growth,2025,8.38497228649717
NE_CON_PCAP_PP_CD,NE.CON.PCAP.PP.CD,"Households and NPISHs Final consumption expenditure per capita, PPP (current international $)",economy,USD_PPP,,2025,5028.37919410668
NE_CON_PCAP_PP_KD,NE.CON.PCAP.PP.KD,"Households and NPISHs Final consumption expenditure per capita, PPP (constant 2021 international $)",economy,USD_PPP,,2025,4128.99895521324
NE_CON_PRVT_CD,NE.CON.PRVT.CD,Households and NPISHs Final consumption expenditure (current US$),economy,USD,Economy & Growth,2025,38541339151.3239
NE_CON_PRVT_CN,NE.CON.PRVT.CN,Households and NPISHs Final consumption expenditure (current LCU),economy,LCU,Economy & Growth,2025,5252848985426.8
NE_CON_PRVT_CN_AD,NE.CON.PRVT.CN.AD,Households and NPISHs final consumption expenditure: linked series (current LCU),economy,LCU,Economy & Growth,2025,5252848985426.81
NE_CON_PRVT_KD,NE.CON.PRVT.KD,Households and NPISHs Final consumption expenditure (constant 2015 US$),economy,USD,Economy & Growth,2025,30555826835.2194
NE_CON_PRVT_KD_ZG,NE.CON.PRVT.KD.ZG,Households and NPISHs Final consumption expenditure (annual % growth),economy,PCT,Economy & Growth,2025,2.38934144327135
NE_CON_PRVT_KN,NE.CON.PRVT.KN,Households and NPISHs Final consumption expenditure (constant LCU),economy,LCU,Economy & Growth,2025,2215622830600.0
NE_CON_PRVT_PC_KD,NE.CON.PRVT.PC.KD,Households and NPISHs Final consumption expenditure per capita (constant 2015 US$),economy,USD,Economy & Growth,2025,1031.65997364247
NE_CON_PRVT_PC_KD_ZG,NE.CON.PRVT.PC.KD.ZG,Households and NPISHs Final consumption expenditure per capita growth (annual %),economy,PCT,Economy & Growth,2025,2.50320064761968
NE_CON_PRVT_PP_CD,NE.CON.PRVT.PP.CD,"Households and NPISHs Final consumption expenditure, PPP (current international $)",economy,USD_PPP,Economy & Growth,2025,148931128319.797
NE_CON_PRVT_PP_KD,NE.CON.PRVT.PP.KD,"Households and NPISHs Final consumption expenditure, PPP (constant 2021 international $)",economy,USD_PPP,Economy & Growth,2025,122293178277.383
NE_CON_PRVT_ZS,NE.CON.PRVT.ZS,Households and NPISHs final consumption expenditure (% of GDP),economy,PCT,Economy & Growth,2025,84.7252140896075
NE_CON_TOTL_CD,NE.CON.TOTL.CD,Final consumption expenditure (current US$),economy,USD,Economy & Growth,2025,42355647136.7432
NE_CON_TOTL_CN,NE.CON.TOTL.CN,Final consumption expenditure (current LCU),economy,LCU,Economy & Growth,2025,5772705956474.12
NE_CON_TOTL_KD,NE.CON.TOTL.KD,Final consumption expenditure (constant 2015 US$),economy,USD,Economy & Growth,2025,33578417098.8457
NE_CON_TOTL_KD_ZG,NE.CON.TOTL.KD.ZG,Final consumption expenditure (annual % growth),economy,PCT,Economy & Growth,2025,3.18230563392265
NE_CON_TOTL_KN,NE.CON.TOTL.KN,Final consumption expenditure (constant LCU),economy,LCU,Economy & Growth,2025,2433017563400.0
NE_CON_TOTL_ZS,NE.CON.TOTL.ZS,Final consumption expenditure (% of GDP),economy,PCT,Economy & Growth,2025,93.1101863761048
NE_DAB_DEFL_ZS,NE.DAB.DEFL.ZS,Gross national expenditure deflator (base year varies by country),economy,INDEX,Economy & Growth,2025,224.667367502149
NE_DAB_TOTL_CD,NE.DAB.TOTL.CD,Gross national expenditure (current US$),economy,USD,Economy & Growth,2025,55731361331.8125
NE_DAB_TOTL_CN,NE.DAB.TOTL.CN,Gross national expenditure (current LCU),economy,LCU,Economy & Growth,2025,7595699352294.29
NE_DAB_TOTL_KD,NE.DAB.TOTL.KD,Gross national expenditure (constant 2015 US$),economy,USD,Economy & Growth,2025,45472678525.9351
NE_DAB_TOTL_KN,NE.DAB.TOTL.KN,Gross national expenditure (constant LCU),economy,LCU,Economy & Growth,2025,3380864536200.0
NE_DAB_TOTL_ZS,NE.DAB.TOTL.ZS,Gross national expenditure (% of GDP),economy,PCT,Economy & Growth,2025,122.513945397792
NE_EXP_GNFS_CD,NE.EXP.GNFS.CD,Exports of goods and services (current US$),economy,USD,Economy & Growth,2025,4015673776.7883
NE_EXP_GNFS_CN,NE.EXP.GNFS.CN,Exports of goods and services (current LCU),economy,LCU,Economy & Growth,2025,547301375320.345
NE_EXP_GNFS_KD,NE.EXP.GNFS.KD,Exports of goods and services (constant 2015 US$),economy,USD,Economy & Growth,2025,3102351199.76258
NE_EXP_GNFS_KD_ZG,NE.EXP.GNFS.KD.ZG,Exports of goods and services (annual % growth),economy,PCT,Economy & Growth,2025,22.2307753743375
NE_EXP_GNFS_KN,NE.EXP.GNFS.KN,Exports of goods and services (constant LCU),economy,LCU,Economy & Growth,2025,248370639700.0
NE_GDI_FPRV_CN,NE.GDI.FPRV.CN,"Gross fixed capital formation, private sector (current LCU)",economy,LCU,Economy & Growth,2025,964839423207.448
NE_GDI_FPRV_ZS,NE.GDI.FPRV.ZS,"Gross fixed capital formation, private sector (% of GDP)",economy,PCT,Economy & Growth,2025,15.5622647672028
NE_GDI_FTOT_CD,NE.GDI.FTOT.CD,Gross fixed capital formation (current US$),economy,USD,Economy & Growth,2025,10722938111.094
NE_GDI_FTOT_CN,NE.GDI.FTOT.CN,Gross fixed capital formation (current LCU),economy,LCU,Economy & Growth,2025,1461443110642.92
