content_id,category,title_ne,title_en,published_date_raw,bs_date_guess,pdf_url,sha256,retrieved_at
277,budget-speech,बजेट वक्तव्य २०८१/८२,,"माघ १, २०८१, मंगलबार १४:७",2081-10-01,https://giwmscdnone.gov.np/media/pdf_upload/%E0%A4%AC%E0%A4%9C%E0%A5%87%E0%A4%9F%20%E0%A4%B5%E0%A4%95%E0%A5%8D%E0%A4%A4%E0%A4%B5%E0%A5%8D%E0%A4%AF%20%E0%A5%A8%E0%A5%A6%E0%A5%AE%E0%A5%A7-%E0%A5%AE%E0%A5%A8_nw8hg3y.pdf,e3c2a17e6e96bf8198a03b3f9b407a8bb66c6ffc00bb381ff3ff81cc845c7a8a,2026-09-03T16:47:46.651528+00:00
281,economic-survey,Economic Survey 2023/24,,"६ माघ, २०८१",2081-10-06,https://giwmscdnone.gov.np/media/pdf_upload/MOF_Economic%20Survey%20ENG%202023-24%20book%20Final_for%20WEB_miwtpw0.pdf,efff8cdc3c1a5cac717ae3761e1feb613d4464f67aef64ac5f9995e905dba7f2,2026-09-03T16:46:16.622769+00:00
282,bulletin,"अर्थ बुलेटिन, मंसिर अंक (२०८१)",,"माघ ९, २०८१, बुधबार १५:३०",2081-10-09,https://giwmscdnone.gov.np/media/pdf_upload/mangsir%20bulletin_a3pitgr.pdf,d759c2fe6b099989ddb5abb6d625cc8ecfe1adbd2ad9898f6980e91ec7c8d2a2,2026-09-03T16:45:51.668039+00:00
292,half-yearly-elemental-assessment,"बजेटको अर्धवार्षिक मूल्याङ्कन प्रतिवेदन, २०८१/८२",,"२४ माघ, २०८१",2081-10-24,https://giwmscdnone.gov.np/media/pdf_upload/%E0%A4%85%E0%A4%B0%E0%A5%8D%E0%A4%A7%E0%A4%B5%E0%A4%BE%E0%A4%B0%E0%A5%8D%E0%A4%B7%E0%A4%BF%E0%A4%95%20%E0%A4%B8%E0%A4%AE%E0%A4%BF%E0%A4%95%E0%A5%8D%E0%A4%B7%E0%A4%BE%202081_82%20_10_23_9_20%20compile_p2pbidu.pdf,383b50d4a13820e95c66be78eb52fd1e0e851e63401c89c51f13a8bd4cdc35b0,2026-09-03T17:04:10.097948+00:00
313,budget-speech,बजेट वक्तव्य २०८१/८२,,"माघ १, २०८१, मंगलबार १२:३४",2081-10-01,https://giwmscdnone.gov.np/media/pdf_upload/%E0%A4%AC%E0%A4%9C%E0%A5%87%E0%A4%9F%20%E0%A4%B5%E0%A4%95%E0%A5%8D%E0%A4%A4%E0%A4%B5%E0%A5%8D%E0%A4%AF%20%E0%A5%A8%E0%A5%A6%E0%A5%AE%E0%A5%A7-%E0%A5%AE%E0%A5%A8_d4eidui.pdf,e3c2a17e6e96bf8198a03b3f9b407a8bb66c6ffc00bb381ff3ff81cc845c7a8a,2026-09-03T16:47:55.475139+00:00
389,budget-speech,Budget Speech (English) 2024/25,,"भदौ ११, २०८१, बुधबार ०:०",2081-05-11,https://giwmscdnone.gov.np/media/pdf_upload/Budget%20Speech%202024_25_iekc8kc.pdf,10a40c049057b0a0b4532c343f2a2f6c787b2fb3c845934aa3864c41bf0a02d6,2026-09-03T16:47:58.566218+00:00
390,budget-speech,Budget Speech 2023/24,,"असार २३, २०८०, आइतबार ०:०",2080-03-23,https://giwmscdnone.gov.np/media/pdf_upload/Budget%20Speech%202023_24_v202k1m.pdf,73660ca91506a51f0019f3f41b127bc46d23f3bd2f8ee05907a9a6e94ff95084,2026-09-03T16:48:01.146847+00:00
391,budget-speech,Budget Speech 2022/23,,"असार १४, २०७९, बुधबार ०:०",2079-03-14,https://giwmscdnone.gov.np/media/pdf_upload/Budget%20Speech%202022-23_qai3qlc.pdf,3f86bce3b93e5a8322434bb49e2218fcbfdcf21b3bd0e91b3d5478e10183ae69,2026-09-03T16:48:03.721226+00:00
392,budget-speech,Bill for Replacing the Financial Ordinances (Fiscal Year 2021/22) [English],,"मंसिर १, २०७८, बिहिबार ०:०",2078-08-01,https://giwmscdnone.gov.np/media/pdf_upload/Budget%20Speech%202021-22_42rlkrb.pdf,2a02a70abc4322068be5657d7a3a9b2ed58dc78002729e81dfefe510e0017511,2026-09-03T16:48:10.342842+00:00
393,budget-speech,Budget Speech 2021/22,,"साउन १२, २०७८, बुधबार ०:०",2078-04-12,https://giwmscdnone.gov.np/media/pdf_upload/Budget%20Speech%202021-22%20non%20english_hxokts9.pdf,5496e41a092976d8135e58f23832a3323b226ed951e4aa041c1e2cb227b069f8,2026-09-03T16:48:12.860745+00:00
